epoch,loss_train_1l,acc_train_1l,loss_val_1l,acc_val_1l,loss_test_1l,acc_test_1l,time_epoch_s_1l,loss_train_2l,acc_train_2l,loss_val_2l,acc_val_2l,loss_test_2l,acc_test_2l,time_epoch_s_2l
76,1.066225237,0.8952380952,1.067081673,0.875,1.065679298,0.9047619048,0.15848,1.058833031,0.8,1.071470704,0.5833333333,1.076564838,0.5714285714,2.762613
77,1.065581422,0.8952380952,1.066457908,0.875,1.065025224,0.9047619048,0.404031,1.05805804,0.7904761905,1.071133421,0.5833333333,1.076094804,0.5714285714,2.716522
78,1.064929143,0.8952380952,1.065826001,0.875,1.064362702,0.9047619048,0.165959,1.057281202,0.7904761905,1.070472103,0.5833333333,1.075934871,0.5714285714,2.762134
79,1.06426825,0.8952380952,1.065185805,0.875,1.063691576,0.9047619048,0.161285,1.056506006,0.7904761905,1.070108546,0.5833333333,1.075398794,0.5714285714,2.744498
80,1.06359859,0.8952380952,1.064537173,0.875,1.063011692,0.9523809524,0.401585,1.05563056,0.8,1.069114666,0.5833333333,1.075025074,0.5714285714,2.797263
81,1.062920008,0.8952380952,1.063879955,0.875,1.062322894,0.9523809524,0.158911,1.054744123,0.8,1.068868009,0.5833333333,1.074552612,0.5714285714,2.72382
82,1.062232349,0.8952380952,1.063214,0.875,1.061625025,0.9523809524,0.154533,1.05385559,0.8095238095,1.067970225,0.5833333333,1.073941505,0.619047619,2.766383
83,1.061535455,0.8952380952,1.062539158,0.875,1.060917925,0.9523809524,0.411433,1.053045148,0.8095238095,1.067446442,0.5833333333,1.07362555,0.6666666667,2.732706
84,1.06082917,0.8952380952,1.061855275,0.875,1.060201434,0.9523809524,0.160264,1.052229043,0.8095238095,1.066731222,0.5833333333,1.07314434,0.619047619,2.756956
85,1.060113332,0.9047619048,1.061162197,0.875,1.059475391,0.9523809524,0.15569,1.051284825,0.8095238095,1.065849748,0.6666666667,1.072551804,0.619047619,2.724345
86,1.059387782,0.9047619048,1.060459768,0.875,1.058739632,0.9523809524,0.401803,1.050411168,0.8095238095,1.065058436,0.6666666667,1.072106854,0.6666666667,2.764033
87,1.058652356,0.9047619048,1.059747833,0.875,1.057993994,0.9523809524,0.164836,1.04954608,0.8095238095,1.064150504,0.6666666667,1.071170277,0.619047619,2.719686
88,1.057906893,0.9047619048,1.059026232,0.875,1.057238311,0.9523809524,0.15636,1.048802794,0.8095238095,1.063796451,0.7083333333,1.070835425,0.619047619,2.769007
89,1.057151227,0.9047619048,1.058294806,0.875,1.056472415,0.9523809524,0.407062,1.047659174,0.8095238095,1.06259694,0.7083333333,1.069818622,0.619047619,2.798746
90,1.056385191,0.9047619048,1.057553395,0.875,1.055696138,0.9523809524,0.158794,1.046873882,0.819047619,1.061931937,0.7083333333,1.069098094,0.619047619,2.764568
91,1.05560862,0.9047619048,1.056801838,0.9166666667,1.054909311,0.9523809524,0.15555,1.045984546,0.8285714286,1.06124998,0.7083333333,1.06843032,0.5714285714,2.718981
92,1.054821343,0.9047619048,1.05603997,0.9166666667,1.054111763,0.9523809524,0.406431,1.04514142,0.8285714286,1.06030945,0.7083333333,1.067741821,0.619047619,2.761949
93,1.054023192,0.9047619048,1.055267628,0.9166666667,1.053303321,0.9523809524,0.162261,1.044226815,0.8285714286,1.059729809,0.7083333333,1.066809738,0.619047619,2.82899
94,1.053213995,0.9047619048,1.054484647,0.9166666667,1.052483812,0.9523809524,0.162029,1.043067176,0.8285714286,1.05887965,0.7083333333,1.065891841,0.619047619,2.760603
95,1.05239358,0.9047619048,1.053690859,0.9166666667,1.05165306,0.9523809524,0.404952,1.042274067,0.8285714286,1.058049069,0.7083333333,1.065463323,0.619047619,2.727401
96,1.051561774,0.9047619048,1.052886097,0.875,1.05081089,0.9523809524,0.158021,1.04113222,0.819047619,1.05777932,0.7083333333,1.064222644,0.619047619,2.761219
97,1.050718401,0.9142857143,1.052070192,0.875,1.049957123,0.9523809524,0.153692,1.040341839,0.819047619,1.056494567,0.75,1.064030935,0.619047619,2.749891
98,1.049863285,0.9142857143,1.051242974,0.875,1.049091582,0.9523809524,0.411754,1.039165322,0.819047619,1.055690865,0.7083333333,1.062658238,0.619047619,2.770183
99,1.048996251,0.9142857143,1.05040427,0.875,1.048214085,0.9523809524,0.159541,1.038292002,0.819047619,1.054797129,0.7083333333,1.062140223,0.619047619,2.729371
100,1.048117119,0.9142857143,1.04955391,0.875,1.047324453,0.9523809524,0.15724,1.037422096,0.8,1.053865346,0.75,1.061415146,0.619047619,2.794783
101,1.047225709,0.9142857143,1.048691718,0.875,1.046422502,0.9523809524,0.414799,1.036549841,0.8,1.052359487,0.7083333333,1.060636,0.619047619,2.731007
102,1.046321843,0.9142857143,1.047817521,0.875,1.045508048,0.9523809524,0.158595,1.035594536,0.8,1.051714897,0.7083333333,1.059935346,0.619047619,2.771
103,1.045405337,0.9142857143,1.046931143,0.875,1.044580908,0.9523809524,0.15811,1.034706088,0.8095238095,1.050510657,0.7083333333,1.059102811,0.619047619,2.746523
104,1.04447601,0.9142857143,1.046032407,0.875,1.043640894,0.9523809524,0.400323,1.033647364,0.8095238095,1.049772686,0.75,1.058617724,0.6666666667,2.759395
105,1.043533677,0.9142857143,1.045121136,0.875,1.042687821,0.9523809524,0.162267,1.032578616,0.8095238095,1.048236822,0.7083333333,1.057552861,0.6666666667,2.72722
106,1.042578155,0.9142857143,1.044197151,0.875,1.041721499,0.9523809524,0.155511,1.031715607,0.8095238095,1.047888334,0.75,1.056941876,0.619047619,2.766768
107,1.041609258,0.9142857143,1.043260272,0.875,1.04074174,0.9523809524,0.408967,1.030487338,0.8095238095,1.04687861,0.75,1.056087014,0.619047619,2.737957
108,1.040626799,0.9142857143,1.042310319,0.875,1.039748354,0.9523809524,0.155188,1.029344004,0.8095238095,1.045737334,0.75,1.055045937,0.619047619,2.771263
109,1.039630592,0.9142857143,1.04134711,0.875,1.038741149,0.9523809524,0.157039,1.028287356,0.8095238095,1.045372892,0.7083333333,1.054502403,0.619047619,2.729657
110,1.038620447,0.9142857143,1.040370464,0.875,1.037719933,0.9523809524,0.406996,1.027025536,0.8,1.043837897,0.75,1.053143786,0.619047619,2.762804
111,1.037596177,0.9142857143,1.039380198,0.875,1.036684514,0.9523809524,0.168637,1.026116158,0.7904761905,1.043354347,0.7083333333,1.052549079,0.5714285714,2.725864
112,1.036557591,0.9238095238,1.038376128,0.875,1.035634698,0.9523809524,0.161174,1.025070521,0.7904761905,1.041767547,0.7083333333,1.051910564,0.619047619,2.772897
113,1.0355045,0.9238095238,1.03735807,0.875,1.034570289,0.9523809524,0.411825,1.023871639,0.8,1.040780178,0.7083333333,1.051608527,0.619047619,2.756032
114,1.034436712,0.9238095238,1.036325839,0.875,1.033491094,0.9523809524,0.16666,1.022662625,0.780952381,1.039698596,0.7083333333,1.050423351,0.5714285714,2.768395
115,1.033354036,0.9238095238,1.035279249,0.875,1.032396915,0.9523809524,0.159232,1.021606846,0.8,1.038136733,0.7083333333,1.05027168,0.5714285714,2.743164
116,1.03225628,0.9238095238,1.034218115,0.875,1.031287556,0.9523809524,0.400094,1.020219035,0.7904761905,1.03668927,0.7083333333,1.049226555,0.619047619,2.767804
117,1.031143252,0.9238095238,1.033142251,0.875,1.03016282,0.9523809524,0.161954,1.019475117,0.8,1.03664485,0.7083333333,1.048678696,0.5714285714,2.735729
118,1.030014759,0.9238095238,1.032051469,0.9166666667,1.029022508,0.9523809524,0.159253,1.018010904,0.8,1.034317238,0.7083333333,1.048484374,0.5714285714,2.762625
119,1.028870608,0.9238095238,1.030945582,0.9166666667,1.027866424,0.9523809524,0.40152,1.017135331,0.819047619,1.034517627,0.7083333333,1.047284129,0.5714285714,2.743941
120,1.027710605,0.9238095238,1.029824404,0.9166666667,1.026694367,0.9523809524,0.165567,1.015532679,0.8095238095,1.031989722,0.75,1.047648448,0.5714285714,2.765155
121,1.026534556,0.9238095238,1.028687746,0.9166666667,1.025506139,0.9523809524,0.156645,1.01448394,0.8095238095,1.032306699,0.6666666667,1.046637929,0.5714285714,2.735253
122,1.025342269,0.9238095238,1.02753542,0.9166666667,1.02430154,0.9523809524,0.407406,1.012938999,0.819047619,1.029787916,0.75,1.045822543,0.5714285714,2.772642
123,1.024133549,0.9238095238,1.02636724,0.9166666667,1.023080371,0.9523809524,0.15894,1.011733444,0.819047619,1.029600074,0.7083333333,1.045662308,0.5714285714,2.74812
124,1.022908203,0.9238095238,1.025183017,0.9166666667,1.021842433,0.9523809524,0.160425,1.009996088,0.819047619,1.027841723,0.75,1.044507989,0.5714285714,2.755654
